Layer Error,Layer Number,Layer Height,Material Type,Extrusion Temperature,Print Speed,Layer Adhesion Quality,Infill Density,Infill Pattern,Shell Thickness,Overhang Angle,Cooling Fan Speed,Retraction Settings,Z-Offset Adjustment,Print Bed Temperature,Layer Time,file_name,image url
SUCCESS,1,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_12sec,fl_layer_200000.png,https://drive.google.com/uc?export=download&id=18dB2HuwpFoyW0AyFDIilJ_PqbYkgeUkH
SUCCESS,2,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_15sec,fl_layer_200001.png,https://drive.google.com/uc?export=download&id=1rjvozn0WYfBpKoDAMaM6uL33aog3hmlC
SUCCESS,3,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_14sec,fl_layer_200002.png,https://drive.google.com/uc?export=download&id=1R0ImzawRYPqpLkGIIubq5joOaQ-ABpM4
SUCCESS,4,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_13sec,fl_layer_200003.png,https://drive.google.com/uc?export=download&id=1bRTy3oXm4tKIvTWyRaKLaJVCL75ekjAb
SUCCESS,5,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_16sec,fl_layer_200004.png,https://drive.google.com/uc?export=download&id=1osNY3-QQeltt6ZuwWIKmnrkxJCpR3D5r
SUCCESS,6,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_17sec,fl_layer_200005.png,https://drive.google.com/uc?export=download&id=17ubq7TWNZfA0yNoTCr8IsNWp1UhRhi4D
SUCCESS,7,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_18sec,fl_layer_200006.png,https://drive.google.com/uc?export=download&id=1V2yNSKF_kEGaK5W4nuBzcCxzjgEUhEqX
SUCCESS,8,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_11sec,fl_layer_200007.png,https://drive.google.com/uc?export=download&id=1CqA7LFA_D695AreX7JdjNymaVnN_U2nK
SUCCESS,9,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_10sec,fl_layer_200008.png,https://drive.google.com/uc?export=download&id=1toJwUsEzWx3qbqgc903mZcZmeE2JUmMu
TEMP_OUT_OF_RANGE,10,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_9sec,fl_layer_200009.png,https://drive.google.com/uc?export=download&id=1JMf2wZR8SppE5d3w9pQmAnbFrlBMGcuA
TEMP_OUT_OF_RANGE,11,0.2,PLA,210,50,Good,20,Grid,2,45,50,5mm,0.05,60,5min_8sec,fl_layer_200010.png,https://drive.google.com/uc?export=download&id=1gC-5UjMZkR7ZVJc8oLusliBb_uhJDnMB
